Reactants,Products
COC(CCC(CO)CO)OC,COC1CCC(CO)CO1
CC(C)N1CCN(C=O)CC1,CC(C)N1CCNCC1
O=[N+]([O-])C=Cc1cccs1,O=[N+]([O-])CCc1cccs1
O=Cc1ccc(O)cc1,OCc1ccc(O)cc1
CCCCCCCCCCCCCO,C=CCCCCCCCCCC
CCOc1cccnc1C(=O)O,CCOc1cccnc1CO
CC(C)S(=O)(=O)CC#N,CC(C)S(=O)(=O)CCN
CS(=O)(=O)Cc1ccccn1,CS(=O)(=O)CC1CCCCN1
O=C(O)C1CCCCC1,O=C(O)c1ccccc1
CC1(C)CCC(=NO)CC1,CC1(C)CCC(N)CC1
O=C(O)c1cccnc1O,OCc1cccnc1O
CCCCC/C=C/CCC=O,CCCCC/C=C/CCCO
COC(=O)COC/C=C/C=O,COC(=O)COC/C=C/CO
Cc1ccc(N)c(C(N)=O)c1,Cc1ccc(N)c(CN)c1
N#CCN1CCCC(O)C1,NCCN1CCCC(O)C1
COc1cccc2conc12,Oc1cccc2conc12
C#Cc1csc(C=O)c1,C#Cc1csc(CO)c1
O=C(O)Cc1ccccc1,O=C(O)CC1CCCCC1
CC1Cc2sccc2C(=O)N1,CC1Cc2sccc2CN1
O=C(O)CC1CCOCC1,OCCC1CCOCC1
c1cc(OC2CCC2)ccn1,C1CC(OC2CCNCC2)C1
CC(O)(C#N)c1ccccn1,CC(O)(CN)c1ccccn1
CCc1cccc(OC)n1,CCc1cccc(O)n1
CCOC(=O)c1coc(C=O)n1,CCOC(=O)c1coc(CO)n1
CC(C)c1ccnc(C#N)c1,CC(C)c1ccnc(CN)c1
CC1(C)CCCCC1=NO,CC1(C)CCCCC1N
[N-]=[N+]=NC1CCC(=O)C1,[N-]=[N+]=NC1CCC(O)C1
Oc1cccc2cnccc12,Oc1cccc2c1CCNC2
CCNC(=O)C1=CCCC1,CCNCC1CCCC1
N#Cc1ccccc1C1CC1C=O,N#Cc1ccccc1C1CC1CO
Cn1cncc1C1=CCCCC1=O,Cn1cncc1C1CCCCC1O
CC=CC=CCCC(=O)OCC,CC=CC=CCCC(=O)O
Cn1cc2cccc(C#N)c2n1,Cn1cc2cccc(CN)c2n1
NC(=O)c1ccc(S)cc1,NC(=O)c1ccccc1
CCc1nc(C)ccc1C(=O)OC,CCc1nc(C)ccc1CO
CCP1(=O)CCCc2ccccc21,CCP1(=O)C=Cc2ccccc21
COC1CC(N)CCC1C,COc1cc(N)ccc1C
CCOc1cc(N)ccc1C,CCOC1CC(N)CCC1C
COc1ccc2c(O)cccc2c1,O=C1CCc2c(O)cccc2C1
CC1(C)CC(=O)C=C(O)C1,CC1(C)CC(=O)CC(=O)C1
CCc1nccnc1CC,C=Cc1nccnc1C
N.O=CCN1C=NCCC1,NCCN1C=NCCC1
O=C(O)c1nccnc1O,OCc1nccnc1O
Nc1ccc(C(=O)O)nn1,Nc1ccc(CO)nn1
Cc1nsc(C)c1C(=O)O,Cc1nsc(C)c1CO
CCCCCC#CCC(=O)OC,CCCCCC=CCC(=O)OC
OCCc1cnccn1,OCCC1CNCCN1
C=C(C)C(=O)OCC1CO1.O,C=C(C)C(=O)OCC(O)CO
CCCCCC/C=C/C=O,CCCCCC/C=C/CO
COP(=O)(CCOC(C)=O)OC,COP(=O)(CCO)OC
COC(=O)C(N=[N+]=[N-])OC,COC(N=[N+]=[N-])C(=O)O
C=CC(=C)CCC1OC1(C)C,C=CC(=C)CCCC(C)(C)O
Nc1nccc(O)c1C(=O)O,Nc1ncccc1C(=O)O
CC(=O)c1ccccn1,CC(O)c1ccccn1
CCCCCCC(C)=O,CCCCCCC(C)O
CC(=O)c1ccccc1,CC(O)c1ccccc1
N#CCCc1ccccn1,NCCCc1ccccn1
C=C(C)C=CCCC(=C)C,C=C(C)CC=CC=C(C)C
N#CCOC1CCCCO1,NCCOC1CCCCO1
C=CCCNC(C)(C)C#N,C=CCCNC(C)(C)CN
C#N.O=C1CCCCC1,N#CC1(O)CCCCC1
CCc1ccc2occc2c1,Cc1ccc2occc2c1
C1CC2CC3CCC2C(C1)C3,C1CC2CC3CC1CC(C2)C3
CCC=C=CCC(=O)OCC,CCC=CC=CC(=O)OCC
CN(C)CCC(=O)C1CC1,CNCCC(=O)C1CC1
C=Cc1ccc2ccccc2c1,C#Cc1ccc2ccccc2c1
Cc1ccc(C(=O)O)cc1,Cc1ccc(C=O)cc1
CCCCCCCCCCCC(=O)O,CCCCCCCCCCCCO
C=C=CC(C)C(=O)OCC,CCCC(C)C(=O)OCC
CCOC(C#CC(C)=CCO)OCC,CCOC(C=CC(C)=CCO)OCC
COC1CCCCC1=O,COc1ccccc1O
O=C1CC(=O)c2ccccc21,O=C1CC(O)c2ccccc21
COc1cccc2nscc12,Oc1cccc2nscc12
COc1cccc2csnc12,Oc1cccc2csnc12
Cn1cccc1CC(=O)O,Cn1cccc1CCO
N#CCCCc1ccccn1,NCCCCc1ccccn1
COC(C)(C)CCCC(C)CC=O,COC(C)(C)CCCC(C)CCO
CCOC(C)(C)CCCC(C)=O,CCOC(C)(C)CCCC(C)O
Cc1cnc(C(=O)O)cn1.N,Cc1cnc(C(N)=O)cn1
CC(=O)OCCCCOC(C)=O,CC(=O)OCCCCO
CC1=CC(=O)CC(C)(C)C1,CC1=CC(C)(C)CC(=O)C1
CC(=O)NCCCCCCC#N,CCNCCCCCCCN
C=Cc1ccc(OC(C)=O)cc1,C=Cc1ccc(O)cc1
COc1cccc(C2CO2)c1,COc1cccc(C=O)c1
Cc1ccccc1C1CO1,Cc1ccccc1C=O
Cc1ccc(C2CO2)cc1,Cc1ccc(C=O)cc1
O=C(O)c1ccc(O)cc1,O=C(O)C1CCC(O)CC1
CC(=O)OCCCC=O,CC(=O)OCCCCO
CC(=O)OCC(C)C=O,CC(=O)OCC(C)CO
COC(=O)c1ccco1,COC(=O)C1CCCO1
CCOC1CCCCC1=O,CCOc1ccccc1O
CC(C)=CCC(C)C=O,CC(C)CCC(C)C=O
Nc1ccc(C=CC(=O)O)cc1,Nc1ccc(C=CCO)cc1
C1=C2CCCC2CCC1,C1CCC2CCCC2C1
OCc1ncc2n1CCCC2,c1ncn2c1CCCC2
CC1=CSCC2=NCCN12,C1=CN2CCN=C2CS1
O=C(O)C1CC2C=CC1C2,O=C(O)C1CC2CCC1C2
O=C(O)C1CCC=CO1,O=C(O)C1CCCCO1
CC(C)=CCCC(C)=CC=O,CC(C)=CCCC(C)CCO
c1ccc2ncccc2c1,c1ccc2cnccc2c1
O=CNCc1ccccn1,c1ccn2cncc2c1
COC1(OC)CCCC1=NO,COC1(OC)CCCC1N=O
NCCSCc1cnc(N)s1,NCCSCc1cncs1
COCc1sc(N)nc1C,COCc1scnc1C
CCc1ncc(C(=O)OC)s1,CCc1ncc(CO)s1
COc1cccc(C(=O)O)c1,COc1cccc(CO)c1
C#CC(C)(O)C(OC)OC,C=CC(C)(O)C(OC)OC
Cc1csc(C)c1C=O,Cc1csc(C)c1CO
O=C(O)CCCCCC(=O)O,O=C1CCCCCC(=O)O1
NCC1CCCC(CN)C1,NCc1cccc(CN)c1
O=CCc1ccccc1,OCCc1ccccc1
N#CC(O)C1CCC2CC21,N#CC=C1CCC2CC12
NCCCCCCCCCCCCN,CCCCCCCCCCCC
COC(=O)Nc1ccccc1,COC(=O)NC1CCCCC1
CCOC(=O)N(C)c1ccccc1,CCOC(=O)N(C)C1CCCCC1
c1ccc(Cc2cccnc2)cc1,c1ccc(CC2CCCNC2)cc1
C1=CCCCCCCC=C1,C1=CCCCCC=CCC1
C#CCO.C1=COCCC1,C#CCOC1CCCCO1
CC1C(=O)CCCC1=O,Cc1c(O)cccc1O
CC1=CCCC(C)(C)C1C=O,CC1=CCCC(C)(C)C1CO
C=Cc1ccccc1O,CCc1ccccc1O
COc1c(O)ccc2c1OCC2=O,COc1c(O)ccc2c1OCC2
COC(=O)c1cccnc1,O=C(O)c1cccnc1
CCC1CCc2ccc(OC)cc21,CCC1CCc2ccc(O)cc21
O=C=Nc1ccccc1,O=CNc1ccccc1
O=C=NC1CCCCC1,O=CNC1CCCCC1
COc1ccoc1C(C)O,Cc1occc(=O)c1O
CC(=O)OC1C=CCC1,CC(=O)OC1CCCC1
CCC(C)=CCCC(C)=O,CCC(C)=CCCC(C)O
CCOC(=O)C1N=COC1CC,CCOC(=O)C(N)C(O)CC
CCCC=C(C=O)CC,CCCCC(CC)CO
O=CNc1ccccc1,O=CNC1CCCCC1
CC1=NCNC(C)(C)C1,CC1CC(C)(C)NC=N1
CC1(C)CC=CC(=O)C1,CC1(C)CCCC(=O)C1
CCCCC(C)(C)C#N,CCCCC(C)(C)CN
Cc1ncccc1C(=O)CCC#N,Cc1ncccc1C1CCCN1
CCCC1=CC(=O)OC1=O,C=CCC1CC(=O)OC1=O
CCC1(C)Cc2ccccc2C1=O,CCC1(C)Cc2ccccc2C1
CCCCCCC(C)=CCO,CCCCCCC(C)CCO
CCCCCC=C/C=C/C=O,CCCCCC=C/C=C/CO
CCCCCCCCCCNC(C)=O,CCCCCCCCCCNCC
C=CC#N.NNC(N)=O,CC(C#N)NNC(N)=O
COc1cccc(OC)c1O,Oc1cccc(O)c1O
CN(C)CCN1CCOCC1,CC1CN(C)CCN1C
C=C(C)C(=O)OCC(O)CO,C=C(C)C(=O)OCCCO
CC(Oc1ccccc1)C(=O)O,CC(CO)Oc1ccccc1
Nc1ccc(O)c2cnsc12,Oc1cccc2sncc12
C1=NNC(c2ccccc2)C1,NCCC(N)c1ccccc1
CC(=O)C=Cc1cccn1C,CC(=O)CCc1cccn1C
CN(C)CCCNCCC#N,CN(C)CCCNCCCN
O=C1CC2C=CCCC2O1,OC1CC2C=CCCC2O1
N#CCn1ccc2ccccc21,N#CCN1CCc2ccccc21
CCCC1CCC(=O)CC1,CCCC1CCC(O)CC1
COc1ccc(C=O)cc1,COc1ccc(C)cc1
CCOc1cscc1NC=O,CCOc1cscc1N
N#Cc1ccc(C#N)cc1,NCc1ccc(CN)cc1
CCCCCCC=CCCCC(=O)O,CCCCCCCCCC=CC(=O)O
CCC=CCCCCCCCC(=O)O,CCCCC=CCCCCCC(=O)O
CC=CCCCCCCCC(=O)O,CCCCC=CCCCCC(=O)O
CCCCCCCCCC=CCCC(=O)O,CCCCCCCCCCCC=CC(=O)O
c1ccc2occc2c1,C#Cc1ccccc1O
CC(=O)Cc1ccncc1,CC(O)Cc1ccncc1
[O-]c1cccc2ccccc12,Oc1cccc2ccccc12
COC(=O)C1=CSCC1O,COC(=O)c1cscc1O
CC(=O)C1=CSCC1O,CC(=O)c1cscc1O
COC(=O)C1SC=CC1O,COC(=O)c1sccc1O
Cc1cccc(C)c1OCC(N)=O,Cc1cccc(C)c1OCC#N
COC(=O)C1C=CCCC1,COC(=O)C1=CCCCC1
COC1=CC=CCC=C1,COC1=CC=CC=CC1
COC1C=CC=CC=C1,COC1=CC=CC=CC1
COC1C=CC=CC=C1,COC1=CC=CCC=C1
C1=CCCC=CCCC=CCC1,C1=CC=CCCCCCCC=C1
COc1ccc(CC(=O)O)cc1,COc1ccc(CCO)cc1
CCCN(N=O)c1ccccc1,CCCN(N)c1ccccc1
CC(=O)Cc1ccccc1,CC(O)Cc1ccccc1
CC(C)(C)c1cc(N)no1,CC(C)(C)C(=O)CC#N
CCOC(=N)CC(=O)OCC,CCOC(=O)CC(N)=O
CC(=O)C=Cc1ccccc1,CC(=O)CCc1ccccc1
CCCCCCCCCCCC(C)NC=O,CCCCCCCCCCCC(C)N
CCCCCCCCCCCC(C)=NO,CCCCCCCCCCCC(C)N
CCN1CCN(N=O)CC1,CCN1CCN(N)CC1
O=CC=Cc1ccccc1,OCC=Cc1ccccc1
CC(C)CC(C)(O)C#N.N,CC(C)CC(C)(N)C#N
COC(=O)C1CCC(=O)C1,COC(=O)C1CCC(O)C1
CN1C2CCCC1CC(=NO)C2,CN1C2CCCC1CC(N)C2
N#CCCOP(=O)([O-])[O-],N#CCCOP(=O)(O)O
O=C1OCc2ccccc21,c1ccc2c(c1)COC2
CSc1nnc(C(N)=O)s1,CSc1nnc(C#N)s1
NC(=O)CCCc1ccncc1,NC(=O)CCCC1CCNCC1
COCCc1ccncc1,COCCC1CCNCC1
C=CCN=CC(CC)CCCC,CCC=NC=C(CC)CCCC
CC(C)(C)C1CCC(=O)CC1,CC(C)(C)C1CCC(O)CC1
CCC(=O)c1ccccc1,CCC(O)c1ccccc1
CC(C)C(=O)c1ccccc1,CC(C)C(O)c1ccccc1
Cc1c(C(=O)O)ncn1C,Cc1c(CO)ncn1C
CCC/C=C/CC#CCO,CCCC=CC/C=C/CO
CCCCC=C/C=C/C(=O)[O-],CCCCC=C/C=C/CO
CNc1ccc(O)cc1,CNC1CCC(O)CC1
O=C1Nc2ccccc2CO1,Nc1ccccc1CO
CC(C=O)c1ccccc1,CC(CO)c1ccccc1
O=c1ccc2ccccc2o1,O=C1CCc2ccccc2O1
CC1=CCCC(C)(C)C1=O,CC1C=CCC(C)(C)C1=O
CCOP(=O)(OCC)OCC,CCOP(OCC)OCC
CC(=O)c1ccc(C#N)s1,CC(=O)c1ccc(CN)s1
C#CC(C)(O)CCC(C)CC,C=CC(C)(O)CCC(C)CC
O=C1CCc2ccccc21,OC1CCc2ccccc21
Nc1cccc(C(=O)O)n1,Nc1cccc(CO)n1
CC(=O)NCCc1ccncc1,CC(=O)NCCC1CCNCC1
O=C1CCCCC2OC12,O=C1CCCCC(O)C1
C=C1CCC2(C(C)C)CC12,CC1=CCC2(C(C)C)CC12
CC(C)(C)/C=C/C=C/C=O,CC(C)(C)/C=C/C=C/CO
N#Cc1ccnc(CO)c1,NCc1ccnc(CO)c1
CCOC(=O)C1CCCC1=O,CCOC(=O)C1CCCC1O
C=CCC(C)(C=C)C(C)=O,C=CCC(C)(C=C)C(C)O
CC1=COC(C)(C=O)CC1,CC1=COC(C)(CO)CC1
COc1ccc(CCCC#N)cc1,COc1ccc(CCCCN)cc1
C=CCON1CC1C(N)=O,CCCON1CC1C(N)=O
CC(C)(CC(=O)O)C(=O)O,CC1(C)CC(=O)OC1=O
O=C1CC2C=CC1CC2,O=C1CC2CC=CCC12
CCCCC=CC=CO,C=CCCCC=CCO
C=COCC.CC(=O)O,CCOC(C)OC(C)=O
CNc1ccc(C(=O)O)cc1,CNC1CCC(C(=O)O)CC1
CCC1CCCCC1N,CCc1ccccc1N
CCC1CCCC(CC)C1N,CCc1cccc(CC)c1N
CCOC(=O)C=Cc1ccccc1,CCOC(=O)CCc1ccccc1
COc1ncncc1[N+](=O)[O-],COc1ncncc1N
Cn1cccc1.N#C[S-],Cn1cccc1SC#N
C=CCCCC(CCC)C(=O)OC,C=CCCCC(CCC)C(=O)O
Cc1cn2cccc(C=O)c2n1,Cc1cn2cccc(CO)c2n1
ON=Cc1ccc(O)cc1,N#Cc1ccc(O)cc1
OCc1ccc(CO)o1,OCC1CCC(CO)O1
N#CC1CCC(C=O)CC1,N#CC1CCC(CO)CC1
c1ccc(C2=NCCO2)cc1,C1=NC(c2ccccc2)OC1
CC1=CCC(C2(C)CS2)CC1,CC1=CCC(C(C)(C)S)CC1
Cc1ccc(C)n1CCOCCO,CC1CCC(C)N1CCOCCO
Cc1cc(N)cnc1CCCC#N,Cc1cc(N)cnc1CCCCN
O=CC=Cc1ccccc1,OCCCc1ccccc1
O=C([O-])c1ccccc1,O=C(O)c1ccccc1
CC(C)C1=NCCCN1,CC(C)c1ncccn1
C=CCC1CCCCCCCCCCC1=O,C=CCC1CCCCCCCCCCC1O
CCN(CC)C(COC)COC,CCN(CC)C(CO)CO
Cc1ccc(OCCO)cc1,CC1CCC(OCCO)CC1
COc1ccc(CN)cc1,NCc1ccc(O)cc1
C=CCCCCCC=O,CCCCCCCC=O
CCC1CCCC(CC)C1N,CC1CCCC(C)C1N
CCOC(=O)c1ccc(O)cc1,CCOC(=O)C1CCC(O)CC1
CCCCCc1ocnc1C(=O)OC,CCCCCc1ocnc1C(=O)O
Oc1ccc2c(c1)C=CCO2,Oc1ccc2c(c1)CCCO2
CC1CCCC(C)C1O,Cc1cccc(C)c1O
CC(O)(CO)c1ccncc1,CC(O)(CO)C1CCNCC1
CCCCCCCN(CC)CC#N,CCCCCCCN(CC)CCN
c1ccc2c(c1)CCOC2,Cc1ccccc1CCO
c1ccc(CN2CCOCC2)nc1,C1CCC(CN2CCOCC2)NC1
CC=O.N#CCc1cccnc1,CC=C(C#N)c1cccnc1
N#CCCCc1ccncc1,NCCCCc1ccncc1
OCCC#Cc1cncnc1,OCCCCc1cncnc1
CCCCCCC1CC1C(=O)OCC,CCCCCCC1CC1C(=O)O
Cc1cn(CCCN)c(C)n1,Cc1cn(CCCN)cn1
CNC(=O)c1ccncc1,CNC(=O)C1CCNCC1
CCCCCCCCCCCCC=COC=O,CCCCC=CCCCCCCCCOC=O
CC=CC(=O)C(C)CC,CC=CC(O)C(C)CC
CCOC(=O)C1CCC(O)CC1,CCOC(=O)C1CCCCC1
CC1(C)CCC(C)(C)C1C=O,CC1(C)CCC(C)(C)C1CO
O=C(O)c1cnncc1C(=O)O,O=C(O)c1ccnnc1
CC(C)=Nn1nnnc1S,CC(C)Nn1nnnc1S
COc1cccc2ccoc12,Oc1cccc2ccoc12
CC1(C)CC(=O)OC(=O)C1,CC1(C)CCOC(=O)C1
Cc1ccc(CC#N)cc1,Cc1ccc(CCN)cc1
CC=CCC(=O)Nc1ccccc1,CCC=CC(=O)Nc1ccccc1
COc1ccc(O)c(C=O)c1,COc1ccc(O)c(CO)c1
COc1cc(C(=O)O)ccc1C,COc1cc(CO)ccc1C
COC(=O)CCCCC(OC)OC,COC(=O)CCCCC=O
COc1ccc(C=NO)cc1C,COc1ccc(C#N)cc1C
CC(=O)c1sc(N)nc1C,CC(=O)c1scnc1C
CCCCNC(=O)OCC(=O)OC,CCCCNC(=O)OCC(=O)O
c1ccc2cnccc2c1,C1CCC2CNCCC2C1
C=CCOC(C)C(=O)OCC,C=CCOC(C)C(=O)O
CCC#CCCCCCCCCO,CCC=CCCCCCCCCO
CCn1cccc1C=O.NO,CCn1cccc1C#N
CC(O)c1ccc(N)cc1,C=Cc1ccc(N)cc1
O=C(O)CCCc1ccccc1,O=C(O)CCCC1CCCCC1
COC(=O)c1ccccc1S,COC(=O)c1ccccc1
CC(O)CN(C)CC(C)O,CC1CN(C)CC(C)O1
O=C1CCCc2sccc21,OC1CCCc2sccc21
O=C(O)CCSc1ccoc1,O=C1CCSc2ccoc21
CN(C)c1ccc(C=NO)cc1,CN(C)c1ccc(C#N)cc1
COc1cc(C(C)=O)ccc1O,COc1cc(C=O)ccc1O
CCC(C)Sc1ccc(OC)cc1,CCC(C)Sc1ccc(O)cc1
COc1cccc2c1SCCC2=O,COc1cccc2c1SCCC2O
CC(C)=C1CCOC1=O,CC(C)C1CCOC1=O
CC1(C)CCC(C)(C)C1=O,CC1(C)CCC(C)(C)C1O
Nc1ccc(C(=O)O)cc1,NC1CCC(C(=O)O)CC1
O=Cc1cnc2ccccn12,OCc1cnc2ccccn12
O=C1COc2ccccc2N1,c1ccc2c(c1)NCCO2
COc1ccc[n+]([O-])c1C,COc1cccnc1C
Cc1ccc2ccccc2n1,CC1CCc2ccccc2N1
COc1ccc(C(=O)O)cc1,COc1ccc(C=O)cc1
CCCCC=CC(=O)O,CCCCCCC(=O)O
COC(=O)c1ccc(O)cc1,COC(=O)C1CCC(O)CC1
CCCCCCN(CCO)CCO,CCCCCCNCCO
CC(C)CN=Cc1ccccc1,CC(C)CNCc1ccccc1
N#Cc1ccc(N)cc1,NCc1ccc(N)cc1
CC1=NCCc2ccccc21,CC1NCCc2ccccc21
O=C(O)c1ccc(O)cc1,O=C(O)C1CCCCC1
CCC(=O)CC(=O)O.CO,CCC(=O)CC(=O)OC
CCSc1scnc1C(=O)OC,CCSc1scnc1C(=O)O
COc1cccc(CC(N)=O)c1,COc1cccc(CC#N)c1
CCCCOC(C)C(=O)OCC,CCCCOC(C)CO
O=C(O)C=Cc1cccnc1,O=C(O)CCc1cccnc1
Cc1ccc2c(c1)OCC2O,Cc1ccc2ccoc2c1
CCCCCCCCCc1ccccc1C=O,CCCCCCCCCc1ccccc1CO
OCCCC#Cc1ccccn1,OCCCCCc1ccccn1
COC1CCCN1C(C)=O,CC(=O)N1CCCC1O
O=C(O)Cc1cccnc1,OCCc1cccnc1
CC(=O)c1ccc(O)cc1,CC(=O)c1ccccc1
Cn1nc2nnsc2c1C(N)=O,Cn1nc2nnsc2c1C#N
COCC1SCCC12OCCO2,COCC1SCCC1=O
CC1(CO)CSCC12OCCO2,CC1(CO)CSCC1=O
Nc1cccc2cnccc12,Nc1cccc2c1CCNC2
Sc1nc2cccccc-2n1,c1ccc2ncnc-2cc1
N#CCCc1cccs1,NCCCc1cccs1
Cc1cccc(C=O)n1,Cc1cccc(CO)n1
CCCCn1cccc1C(C)=O,CCCCn1cccc1C(C)O
CCCCn1cccc1C(=O)CC,CCCCn1cccc1C(O)CC
Cn1nccc1NC(=S)S,Cn1nccc1N=C=S
Cc1cccc(NC=O)c1CO,CNc1cccc(C)c1CO
C=Cc1ccc(C2CO2)cc1,C=Cc1ccc(C=C)cc1
CC1=NCCc2sccc21,Cc1nccc2sccc12
CCCC(C=O)CCC#N,CCCC(CO)CCC#N
CC(C)(C=O)CCC#N,CC(C)(CO)CCC#N
N#Cc1cccc(C=CCO)c1,N#Cc1cccc(CCCO)c1
N#Cc1cnn2cccnc12,N#Cc1cnn2c1NCCC2
CCC1CC(=O)CCN1CC,CCC1CC(O)CCN1CC
O=Cc1cccc(C=O)c1,O=Cc1cccc(CO)c1
COC(=O)C1CN(C)C=N1,COC(=O)c1cn(C)cn1
CCCCCCC#CCC(=O)O,CCCCCCC=CCC(=O)O
CNc1ncccc1C#N,CNc1ncccc1CN
c1ccc2c(c1)CCNC2,C1=NCCc2ccccc21
Cc1nc2ccccc2o1,c1ccc2ocnc2c1
C[n+]1cccc(C#N)c1,CN1CCC=C(C#N)C1
OC1CCOc2ccccc21,C1=Cc2ccccc2OC1
COC(=O)c1cnc(N)s1,COC(=O)c1cncs1
CCCOC(=O)C(C)=O,CCCOC(=O)C(C)O
CCOC(=O)CC(C)=O,CCOC(=O)CC(C)O
Cc1cccc(C)c1C#N,Cc1cccc(C)c1CN
CCC1N=C(O)c2cscc2N1,CCC1N=C(O)c2ccsc2N1
C=CC(=O)OCCN(C)C,COc1ccc(O)cc1
CCC1=C(OC)C(=O)CC1,CCC1=C(O)C(=O)CC1
Cc1cc2ccccc2cc1C=O,Cc1cc2ccccc2cc1CO
N#CC12CCCN1CCC2,NCC12CCCN1CCC2
CCOC(=O)c1cc(CO)ccn1,CCOC(=O)C1CC(CO)CCN1
Cc1cc2cc(C)c1o2,Cc1cccc(C)c1O
O=C1CCCCCCCN1,C1CCCCNCCC1
Cc1nccn1CCc1ccncc1,Cc1nccn1CCC1CCNCC1
Cn1ccnc1C=O.NO,Cn1ccnc1C=NO
C=C(C)C(=O)N=C=O.N,C=C(C)C(=O)NC(N)=O
OC1Cc2ccccc2C1,OC1CC2CCCCC2C1
Cc1ccc(C)c2c1CCC2=O,Cc1ccc(C)c2c1CCC2
C=CCC(C=O)CCC,CCCC(C=O)CCC
Nc1ccc(CCO)cc1,OCCc1ccccc1
CN(CCC#N)CCC#N,N#CCCNCCC#N
Cc1c(O)ccc2occc12,Cc1c(O)ccc2c1CCO2
O=Cc1ccccc1C1=CCCCC1,O=Cc1ccccc1C1CCCCC1
O=C1CCc2ccccc21,C1=Cc2ccccc2C1
OCCC#Cc1ncccn1,OCCCCc1ncccn1
OCC#Cc1nccs1,OCCCc1nccs1
CCCC(C)(C#N)C(=O)OCC,CCCC(C)(C#N)C(=O)O
CCCC(C)(C#N)C(=O)OCC,CCCC(C)(C#N)CO
CC(C)(C)N(CCO)N=O,CC(C)(C)N(N)CCO
Cc1nn(CCO)c(N)c1N=O,Cc1nn(CCO)c(N)c1N
CSc1ccnc2ccnn12,c1cnc2ccnn2c1
Cc1ccc(C(=O)O)cc1O,Cc1ccc(C=O)cc1O
CCCCCOCCCCCOCCCCC#N,CCCCCOCCCCCOCCCCCN
O=C(O)CCSc1cccs1,O=C1CCSc2sccc21
Cc1c(O)ccc(C=O)c1O,Cc1ccc(O)c(C)c1O
CC(C)COC(=O)/C=C/C=O,CC(C)COC(=O)CCC=O
c1ccc(Cc2cnccn2)cc1,c1ccc(CC2CNCCN2)cc1
CCC(C)CCCC(C)C(=O)O,CCC(C)CCCC(C)CO
COC1=C(C)C(=O)OC1=O,COC1=C(C)C(=O)OC1O
CCCCCCCCCC(=O)O,C=CCCCCCCC
CCC=C1CCCC1=O,CCCC1CCCC1=O
COC(=O)CC(OC)OC,COC(CC(=O)O)OC
CCCNC(=O)c1ccccc1N,CCCNC(=O)c1ccccc1
Cc1cccc(C(=O)O)c1,CC1CCCC(C(=O)O)C1
CC1CCCC(C(=O)O)C1,CC1CCCC(CO)C1
Cc1cccnc1CN1CCCC1,CC1CCCNC1CN1CCCC1
Cc1ccnc(C#N)c1,Cc1ccnc(CN)c1
CC(=O)c1ccccc1N,CC(O)c1ccccc1N
CC#Cc1ccccc1,C#CCc1ccccc1
CCCC/C=C\CCCCCCCCCCO,CCCCC#CCCCCCCCCCCO
CCCC=CCC(O)C(=O)OC,CCCC=CCC(O)C(=O)O
C#CCCOCCC(=O)O,C#CCOCCC(=O)O
C#CCCSCC(=O)OC,C#CCCSCC(=O)O
C#CCC/C=C/C(=O)OCC,C#CCC/C=C/C(=O)O
CCCCCCCCC(C)=O,CCCCCCCCC(C)O
